网址,职位,公司名称,薪资,工作地点,发布时间,岗位描述
http://special.zhaopin.com/pagepublish/15031441/index.html,Java研发工程师（数据处理),厦门市美亚柏科信息股份有限公司,6000-12000,西安,最近, 岗位要求：（需包含：教育背景、专业技能、工作经验要求、其他要求等）  1) 本科及以上学历，计算机等相关专业毕业。  2) 2年及以上JAVA开发相关经验。  3) 熟悉传统的关系型数据库。  4) 熟悉主流开源 NoSQL 产品、分布式存储与计算平台。  5) 有 ETL 相关工作...
http://company.zhaopin.com/CC463535987D90250003000.htm,Java开发实习生,西安软慧软件开发有限公司,4001-6000,西安-雁塔区,最近," 招聘要求:  1、计算机(网络)、软件工程、电子技术、自动化、电子商务、应用数学等相关专业,专业不限；  2、有计算机语言基础优先，如：JAVA、C语言、C++、C#、Net、Android等；  3、有钻研精神和学习能力，团队合作能力；  4、具有良好的自主学习能力，能够通过学习解..."
http://company.zhaopin.com/CC463535987D90250003000.htm,Java开发工程师,西安软慧软件开发有限公司,4001-6000,西安-雁塔区,最近, 职位要求：  1、大专及以上学历，计算机、软件工程相关专业更优；  2、对程序测试有了解，对系统黑盒测试、性能测试、环境与可靠性测试等技能熟悉者优先；  3、能够及时针对测试过程问题缺陷进行分析、定位和反馈，协助开发工程师完成改善验证；  4、工作责任心强，细致，耐心；  5、具有较强学习能力和实...
redirecturl?url=http%3a%2f%2fmaker.haier.net%2fcustompage%2findex%2findex.html%3fplatformcode%3dzl&cc=CC121066847J90317739000&sign=B38039DCD217B30005602D61F2BEE9C2,Java开发实习生（西安）,海尔集团公司,面议,西安-高新技术产业开发区,招聘中, 岗位职责：   1、 在Java工程师的指导下能够进行项目的开发和维护；  2、 了解基本的数据库范式，能够进行数据库表的设计和开发；  3、 可参与问题的排查、解决；      岗位要求：   1、 熟悉JAVA语言，JAVA/J2EE专业基础扎实；  ...
redirecturl?url=http%3a%2f%2fmaker.haier.net%2fcustompage%2findex%2findex.html%3fplatformcode%3dzl&cc=CC121066847J90317740000&sign=B38039DCD217B30005602D61F2BEE9C2,Java 高级开发工程师（偏网关 西安）,海尔集团公司,面议,西安-高新技术产业开发区,招聘中, 岗位职责：   1. 负责海尔IOT平台接入网关的设计开发工作，着重M2M网络性能优化；  2. 参与物联网协议的制定和优化，参与相关问题的定位与解决工作；        岗位要求：   1. 3年以上Java开发经验，熟悉netty等网络编程框架，有C网络编程经验优先；  2. 对...
http://company.zhaopin.com/CC120220260.htm,Java开发工程师,文思海辉技术有限公司 Pactera Technology International Limited,面议,西安,招聘中,...Java编程语言和思想，扎实的编程基础； 4、熟悉Oracle、DB2 等常用数据库编程及性能优化，熟悉数据库设计。   工作经验:二年 学历要求:大专 薪水范围:10000-14999 联系邮箱:PTA_DL@pactera.com
http://company.zhaopin.com/%E8%A5%BF%E5%AE%89%E6%96%B0%E4%B8%9C%E6%96%B9%E5%AD%A6%E6%A0%A1_CC120002369D90000005000.htm,JAVA开发工程师,西安新东方学校,6000-12000,西安-碑林区,最近, 岗位职责：   1、与业务部门密切合作，收集相关部分的业务需求，并负责业务需求的程序设计、代码编写等软件开发工作；   2、负责相关系统软件的二次开发，如招聘系统、学员管理系统等   3、负责学校自主研发软件的维护；     任职要求：  1、计算机或相关专业本科以上学历， 至少3年以上Ja...
http://special.zhaopin.com/hz/2011/hw02280700/index.htm,西安-高级应用软件开发工程师(JAVA),杭州海康威视数字技术股份有限公司,8001-10000,西安,招聘中,"...JAVA语言及一种以上常见WEB开源框架/系统； 4     熟悉并能指导分布式系统开发的各个领域及问题,理解微服务系统建设过程； 5     熟悉软件体系结构、开发流程，精通面向对象设计，精通常用的设计模式； 6     具备吃苦耐劳的精神，以及良好的责任心和团队协作能力； 7..."
http://special.zhaopin.com/hz/2011/hw02280700/index.htm,西安-应用软件开发工程师(JAVA),杭州海康威视数字技术股份有限公司,8001-10000,西安,招聘中, 岗位职责： 1     根据设计文档、进度安排和编码规范实现软件开发，对平台的其他模块进行代码审核； 2     参与系统的概要设计，参与设计文档的编写； 3     参与相关模块的设计文档审核及评审； 4     参与集成测试方案、集成测试用例的设计和实现，对负责的模块软件进行单元测试，并修改测...
http://company.zhaopin.com/CC424188188.htm,Java开发中级工程师,大连斯锐信息技术有限公司,8001-10000,西安-高新技术产业开发区,招聘中, 任职要求：  1.具有2年java开发经验  2.有一定的前台开发经验，熟悉html与css编写  3.可熟练使用jquery及其扩展插件，使用过echarts、jqgrid、ztree等插件者优先  4.熟练使用mvc架构的常用框架，了解各层含义，了解nutz框架者优先  5.熟悉...
http://company.zhaopin.com/CC424188188.htm,java开发工程师,大连斯锐信息技术有限公司,10001-15000,西安,招聘中,...Java基础技术扎实，熟练 高并发 异步 多线程编程; 4、熟练使用缓存技术（例如: redis）; 5、熟练使用Spring框架技术，熟悉Mysql数据库，编写sql熟练及高效;  6、有服务端开发经验的优先，有dubbo使用经验的优先考虑。
http://company.zhaopin.com/%E6%AD%A6%E6%B1%89%E4%BD%B0%E9%92%A7%E6%88%90%E6%8A%80%E6%9C%AF%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8_CC364485728.htm,java,武汉佰钧成技术有限责任公司,10001-15000,西安-高新技术产业开发区,招聘中, 岗位职责：  1、具有良好Java语言基础，面向对象基础。熟悉Struts、Hibernate、Spring、mybatis等主流技术框架。  2、精通SQL语句，熟悉存储过程、视图、索引、事务处理等。  3、熟悉设计模式，良好的代码质量和习惯。  4、具有很强的分析和沟通能力，较强...
http://special.zhaopin.com/pagepublish/46002581/index.html,Java软件开发+五险/双休,西安雁塔兆隆计算机培训中心,4001-6000,西安,招聘中, 岗位职责：  1、服从公司的发展要求，配合公司的工作安排；  2、负责公司相关Java软件项目的开发；  3、参与公司所用技术的优化和升级。  任职要求：  1、年满18岁，高中以上学历，专业不限；  2、对JAVA有浓厚的兴趣，并有打算从事JAVA开始的...
http://special.zhaopin.com/pagepublish/46002581/index.html,初级Java开发(应届生亦可)双休五险一金,西安雁塔兆隆计算机培训中心,4001-6000,西安,招聘中, 岗位职责：  1、编写简易代码，做简单的开发工作；  2、分析并解决软件开发过程中的问题；  3、协助软件工程师完成技术文档的撰写及测试工作；  4、配合项目经理完成相关任务目标。  任职要求：  1、18-岁25条件优秀者可以放宽；  2、学习能力强，可塑性强，热爱互联网工作；  3、工作作风踏...
http://special.zhaopin.com/zz/2013/ersq121159,JAVA初级/中级工程师（西安）,郑州平行线教育,4000-8000,西安,最新, 岗位职责：  1.严格实施规划时间表开发项目  2.按时有效完成各开发阶段目标  任职要求：  1.1年以上工作经验，负责技术开发，根据产品需求完成研发工作            2.进行软件详细设计，代码编写，单元测试，集成测试等  3.进行软件代码的维护和更新               4....
http://company.zhaopin.com/P6/CC1382/3535/CC138235354.htm,Java开发工程师（西安）,深圳市蓝凌软件股份有限公司,8001-10000,西安,招聘中, 岗位职责:   1、参与分析调研客户的需求与功能点的技术实现； 2、负责完成项目的核心代码编码，并编写相应的技术文档； 3、按照项目计划交付符合客户需求与质量要求的项目组件或产品； 4、参与软件需求与设计的审核、代码检查，协助项目经理实施项目。  任职资格:  1、3年以上的java...
http://special.zhaopin.com/zz/2013/ersq121159,JAVA高级工程师,郑州平行线教育,10000-15000,西安,最新, 岗位职责：  1.与技术开发团队负责人密切沟通，完成高质量的平台开发技术及实施规划  2.严格实施规划时间表开发项目、按时有效时间各开发阶段目标  任职要求：  1.具有5年以上使用JAVA编程的经验  2.有很强的沟通表达能力和团队合作精神，能承受巨大的工作压力  3.拥有良好的编...
http://special.zhaopin.com/pagepublish/40596938/index.html,初级Java程序员/助理 带薪实习/双休+五险一金,西安中软卓越信息技术有限公司,4001-6000,西安,招聘中, 一、任职要求：  1、 本科学历，相关理工科专业(计算机、网络通信、软件开发等理工类相关专业优先，其他方面优秀的，学历可适当放宽)；  2、从事公司项目组项目研发工作；  3、有较强的逻辑思维能力；  4、根据自身想法及创意开发新型项目；  5、和团队一起对软件做出测评；  6、有责任心，团队意识...
http://special.zhaopin.com/pagepublish/40596938/index.html,嵌入式软件开发工程师/实习生(C/JAVA ) 西安+五险一金/双休,西安中软卓越信息技术有限公司,4001-6000,西安,招聘中, 岗位职责：  1、参与物联网停车系统相关模块的代码编写。  任职要求：   1、逻辑思维能力强，性格开朗，责任心强，工作积极主动；     2、有无基础都可以，但必须对技术岗有长期发展意愿；      3、学习能力强，工作热情高，富有责任感，在项目经理的指导下完成工作内容；     4、 具备强烈...
http://company.zhaopin.com/P6/CC1205/6455/CC120564559.htm,中级JAVA开发工程师出差、有差补,深圳市长亮科技股份有限公司,10000-20000,西安,最近, 岗位职责：  1、开发银行财务类相关系统，参与模块开发。  2、参与系统详细设计、开发和测试等过程。  3、编写相关开发技术文档。  4、完成上级领导布置的其他工作任务。  任职要求：  1、Java基础扎实，两年以上JavaWeb开发经验；  2、精通JSP、Serv...
http://special.zhaopin.com/pagepublish/46007218/index.html,企业直招Java程序员 应届生,西安源宇轩软件科技有限公司,4001-6000,西安,招聘中,...JAVA、.Net、PHP等；  5、可接受入职前项目技能实训，项目实训期间无任何费用，并且每月享有项目提成补助。     二、职位方向  JAVA软件开发工程师、Android软件工程师、软件测试工程师、网络工程师、WEB前端开发工程师等。  职业发展：技术人员领...
http://special.zhaopin.com/pagepublish/52619628/index.html,云平台-Java开发工程师,深圳卓维信息技术有限公司西安分公司,4001-6000,西安,招聘中, 岗位职责：  1. 参与云平台大数据实时计算系统的开发；  任职要求：  1.统招本科学历，计算机或相关理工科专业，大四在校生or应届毕业生；   2.良好的专业知识储备。熟悉面向对象编程设计，熟悉数据库；  3.思维活跃，熟悉大学生调性，对新事物充满激情；  4.目标导向，有良好的过程管理习惯，...
http://special.zhaopin.com/pagepublish/68004712/index.html,后端开发工程师  ,陕西易联盛世网络科技有限公司,6001-8000,西安,置顶,"...JavaScript  ；    2  、熟练的  JavaScript  代码编写能力；    3  、具备  2  年以上服务器应用程序相关开发经验，了解基本的网络协议和应用如   Socket, HTTP  ，  RESTFUL  ，  SSH  ；    4..."
http://company.zhaopin.com/CC574048387.htm,初级java工程师/web前端/实习生,成都迈锐特信息技术有限公司西安分公司,8001-10000,西安,最新, 岗位职责：     1、负责公司业务软件系统的研发工作；     2、协助架构师进行系统设计工作；     3、参与技术研究和攻关工作；     4、参与系统单元测试工作；     5、负责相关技术文档编写工作。     任职要求：     1、1年以上Java开发经验，全日制专科及...
http://company.zhaopin.com/CZ409398280.htm,Java开发实习生,巴人互动成都网络科技有限公司,4000-5000,西安,最新,...Java等开发语言；      3、     有良好的编程基础，熟悉相关开发工具；       4、     了解 SQL语句的编写     ；            5、     热爱计算机行业。               岗位      职责      ：       1、...
http://company.zhaopin.com/CC540062934.htm,java软件开发工程师,北京升凯网络科技有限公司,3000-5000,西安-碑林区,最新," 任职要求  1、喜欢从事IT技术类工作，对互联网移动端开发、web前端技术有浓厚兴趣；  2、有一定的逻辑思维,条理性强；  3、有团队精神，愿意虚心学习，愿意协助工程师完成项目开发工作；  4、吃苦耐劳，有一定的自我约束和控制能力，意志力坚强；  5、计算机专业应届毕业生优先。  岗位职责  1..."
http://company.zhaopin.com/CC540062934.htm,高薪Java程序开发实习生,北京升凯网络科技有限公司,4001-6000,西安-莲湖区,最新, 岗位职责：  1、服从公司的发展要求，配合公司的工作安排；  2、负责公司相关Java软件项目的开发；  3、参与公司所用技术的优化和升级。  任职要求：  1、年满18岁，大专以上学历，专业不限；  2、对JAVA有浓厚的兴趣，并有打算从事JAVA开始的...
http://company.zhaopin.com/CC514689632.htm,JAVA程序开发助理双休,广州胖虾网络科技有限公司,3000-5000,西安-雁塔区,最新, 岗位要求：  1、中专以上学历，年龄18-26岁；  2、对开发本身有浓厚的兴趣，有从事java开发工作的意愿；  3、优秀的学习能力，良好的团队协作精神和服务意识；     福利待遇：  1、周一至周五，早上9：:00-下午18:00，中午休息2小时，周末双休；  2、为员工购买五...
http://company.zhaopin.com/CC514689632.htm,Java技术员+项目奖金,广州胖虾网络科技有限公司,3000-5000,西安-碑林区,最新, 岗位职责：  1、服从公司的发展要求，配合公司的工作安排；  2、负责公司相关Java软件项目的开发；  3、参与公司所用技术的优化和升级。  任职要求：  1、年满18岁，高中以上学历，专业不限；  2、对JAVA有浓厚的兴趣，并有打算从事JAVA开始的...
http://company.zhaopin.com/CZ548785780.htm,JAVA高级讲师,陕西云谷教育科技有限公司,8001-10000,西安,最新, 1、计算机或相关专业大专以上学历； 2年以上Java开发经验，1年以上培训经验； 2、精通Java SE核心编程和面向对象思想； 3、精通编程工具，熟悉ECLIPSE开发环境及Web程序开发，熟悉J2EE技术，有B/S或C/S多层架构开发经验； 4、能熟练使用Strut...
